data offer,data plan,signal strength,satisfaction,churn
6,6,8,78,79.0304
4,6,9,31,40.2966
7,7,6,42,50.0113
6,6,9,44,52.4111
4,7,7,63,65.30449999999999
7,8,9,27,41.1222
5,5,8,90,87.09009999999999
7,5,6,100,95.1817
5,6,9,5,20.142599999999998
6,5,8,45,51.6126
5,8,6,14,26.602600000000002
7,8,8,23,37.0945
7,7,7,80,81.46
6,6,7,52,57.2597
7,8,9,61,68.5432
7,5,8,69,71.78359999999999
5,7,6,4,17.7343
4,6,9,97,93.5256
4,7,7,80,79.01499999999999
6,5,8,28,37.902100000000004
5,6,8,88,86.28039999999999
4,6,6,18,27.406999999999996
7,6,9,93,92.74459999999999
6,6,7,37,45.1622
5,7,6,55,58.8658
5,8,8,4,20.141
7,8,9,16,32.250699999999995
4,7,9,34,43.5194
5,7,9,7,22.5589
6,8,7,53,59.6728
4,7,6,33,40.3078
7,8,8,51,59.676500000000004
5,8,6,53,58.0561
6,6,7,87,85.4872
4,7,8,53,58.0412
7,7,6,18,30.6553
5,8,8,18,31.432
5,7,6,3,16.9278
5,6,6,65,66.1275
5,5,7,92,87.9014
5,5,8,26,35.4741
7,8,8,94,94.356
7,7,6,87,86.3038
6,5,7,43,49.1979
4,8,6,36,43.5306
5,7,8,16,29.0157
7,6,9,26,38.7091
7,7,8,48,56.4537
4,5,6,49,51.6052
5,6,6,92,87.90299999999999
6,5,8,77,77.4206
6,7,7,24,35.481
6,8,8,36,46.763999999999996
5,6,7,45,50.7992
6,7,8,59,64.5102
5,6,6,36,42.739
7,5,8,41,49.2016
4,7,9,60,64.4884
4,8,8,87,86.26549999999999
6,6,7,36,44.3557
5,7,9,50,57.2384
4,7,6,42,47.5663
5,6,6,91,87.09649999999999
4,6,7,33,40.3062
4,5,8,88,84.6621
6,7,6,100,95.97330000000001
7,6,9,85,86.2926
4,5,8,64,65.3061
6,6,6,75,75.0075
7,6,8,57,62.9089
7,7,9,69,74.1919
5,7,9,19,32.2369
7,6,8,8,23.3904
5,5,7,11,22.5749
7,8,9,12,29.0247
4,7,8,38,45.94369999999999
4,5,6,38,42.7337
4,5,8,16,26.594099999999997
7,7,6,71,73.3998
5,5,7,13,24.1879
6,7,6,92,89.5213
7,6,9,88,88.71209999999999
6,8,6,41,49.1931
6,5,8,20,31.4501
5,5,8,76,75.7991
6,8,6,43,50.8061
5,7,7,60,63.7
6,8,7,62,66.9313
6,6,8,46,53.22239999999999
7,8,8,89,90.3235
6,8,7,50,57.2533
7,6,8,37,46.77889999999999
6,8,8,65,70.1525
5,5,6,97,91.13220000000001
4,7,8,81,80.6232
7,6,9,78,80.6471
5,8,8,84,84.661
6,7,7,60,64.515
6,7,9,15,29.8259
4,7,9,48,54.8104
7,5,9,90,89.52179999999998
6,5,8,88,86.29209999999999
7,7,8,27,39.5172
7,8,7,88,88.71529999999998
7,7,9,51,59.6749
5,8,6,81,80.6381
4,6,9,36,44.3291
5,5,7,65,66.1259
7,7,6,56,61.3023
4,6,8,28,37.0754
4,6,6,68,67.732
7,8,8,48,57.257000000000005
6,5,9,42,49.9948
4,5,6,54,55.6377
4,7,7,79,78.20849999999999
5,6,6,61,62.9015
6,8,6,54,59.6776
4,5,9,30,38.6868
6,6,6,8,20.972
4,6,9,99,95.1386
5,8,8,22,34.658
7,7,6,43,50.8178
7,7,8,89,89.52019999999999
6,6,7,100,95.9717
4,6,9,28,37.8771
5,5,9,10,23.3718
5,6,7,16,27.4107
6,8,8,62,67.733
6,7,6,38,45.970299999999995
7,5,9,18,31.453799999999998
6,6,8,82,82.2564
7,7,6,47,54.0438
6,7,6,8,21.7753
7,7,7,25,37.1025
6,7,7,53,58.8695
5,6,7,0,14.506699999999999
4,6,7,36,42.725699999999996
6,7,7,55,60.4825
6,8,6,55,60.4841
6,8,7,8,23.3803
4,6,6,31,37.8915
7,8,7,8,24.195299999999996
4,8,7,7,20.943799999999996
5,7,7,59,62.8935
5,8,7,71,73.3748
6,7,7,11,24.996499999999997
7,8,9,92,93.54469999999999
7,5,8,68,70.9771
6,7,9,29,41.1169
4,7,8,59,62.8802
7,8,9,18,33.863699999999994
4,6,8,2,16.106399999999997
5,6,8,74,74.98939999999999
4,8,7,25,35.4608
5,6,6,43,48.384499999999996
7,6,9,8,24.192099999999996
6,5,8,97,93.5506
4,8,7,70,71.7533
6,8,9,91,91.9232
4,8,6,18,29.013599999999997
7,8,9,61,68.5432
4,6,9,37,45.1356
7,7,8,9,25.0002
4,8,7,61,64.4948
6,5,9,72,74.18979999999999
7,7,9,10,26.608399999999996
4,5,9,65,66.9143
6,8,7,80,81.44829999999999
4,6,7,7,19.337199999999996
5,5,7,6,18.5424
6,7,7,40,48.385
6,7,7,13,26.6095
7,8,9,93,94.35119999999999
4,8,7,99,95.1418
4,5,8,41,46.7566
4,6,6,29,36.2785
7,8,9,97,97.5772
5,5,8,44,49.991099999999996
6,5,7,76,75.8124
4,6,7,89,85.47019999999999
4,5,7,53,55.6329
7,8,7,73,76.61779999999999
6,8,8,46,54.82899999999999
6,6,7,48,54.0337
6,7,7,21,33.061499999999995
5,7,7,91,88.7015
7,8,6,30,41.1366
7,6,8,24,36.294399999999996
5,6,8,53,58.0529
7,5,7,33,41.9479
7,5,6,83,81.4712
4,7,9,41,49.164899999999996
5,7,7,0,15.309999999999999
7,7,8,95,94.35919999999999
6,5,7,26,35.4874
7,7,8,15,29.839199999999998
7,8,9,6,24.185699999999997
6,8,9,66,71.7607
6,6,6,53,57.2645
6,7,7,47,54.030499999999996
6,8,7,98,95.96530000000001
6,7,7,43,50.8045
4,7,7,8,20.946999999999996
5,6,6,21,30.6415
6,6,9,71,74.1866
7,5,8,78,79.04209999999999
4,7,6,39,45.1468
7,5,8,1,16.941599999999998
5,5,6,71,70.1632
5,5,8,7,20.150599999999997
7,5,9,10,25.001799999999996
6,7,6,21,32.2598
5,7,6,35,42.7358
4,5,9,83,81.4313
7,7,7,9,24.198499999999996
4,6,6,28,35.472
6,7,6,86,84.6823
5,6,9,45,52.40259999999999
5,8,9,60,66.1067
6,5,6,97,91.94720000000001
4,5,8,27,35.4656
6,5,9,9,23.3803
4,5,7,69,68.5369
6,7,9,59,65.31190000000001
6,8,7,98,95.96530000000001
7,5,8,23,34.684599999999996
4,7,9,29,39.4869
6,7,7,77,78.2255
5,8,8,81,82.2415
7,6,7,26,37.1057
5,5,7,87,83.8689
4,5,6,85,80.63919999999999
6,5,9,13,26.6063
7,7,8,45,54.0342
6,5,6,99,93.56020000000001
5,5,7,61,62.8999
4,7,9,24,35.4544
7,8,6,4,20.1676
7,5,7,74,75.0144
7,5,9,100,97.58680000000001
4,8,7,63,66.1078
7,5,6,33,41.1462
6,7,9,95,94.3459
5,5,7,93,88.7079
4,5,9,10,22.5568
6,5,7,66,67.7474
5,7,6,49,54.0268
6,5,9,27,37.8973
7,8,6,76,78.2356
4,5,7,37,42.728899999999996
5,7,9,100,97.5634
4,5,6,36,41.1207
6,5,6,39,45.170199999999994
7,7,6,68,70.9803
7,6,9,66,70.9691
6,7,6,48,54.03530000000001
7,6,8,88,87.9104
5,5,6,61,62.0982
7,8,9,27,41.1222
6,7,9,66,70.9574
5,5,7,53,56.447900000000004
5,5,9,34,42.7278
5,5,7,78,76.6104
6,8,6,64,67.7426
5,8,9,45,54.00919999999999
6,5,8,35,43.5476
4,7,9,97,94.3289
4,8,7,36,44.3323
4,5,8,75,74.1776
7,8,8,38,49.19199999999999
6,8,8,85,86.2825
6,6,6,54,58.071
7,5,9,82,83.06979999999999
7,5,7,83,82.27289999999999
7,6,8,66,70.1674
5,8,7,46,53.2123
5,5,8,43,49.184599999999996
4,8,7,61,64.4948
7,8,7,51,58.8748
6,7,6,68,70.1653
6,7,9,100,98.3784
5,8,6,8,21.7636
5,5,9,81,80.63329999999999
5,6,8,81,80.63489999999999
5,5,6,31,37.9032
4,8,8,36,45.134
5,6,6,52,55.643
6,7,9,36,46.7624
7,8,8,61,67.7415
7,5,8,49,55.6536
7,5,7,56,60.4974
5,7,9,76,78.20739999999999
7,6,6,41,48.4015
7,5,8,67,70.1706
6,8,7,1,17.7348
6,6,6,2,16.133
4,6,7,89,85.47019999999999
6,8,9,75,79.0192
5,6,8,29,38.6969
4,7,8,88,86.2687
6,7,6,46,52.42229999999999
6,8,8,41,50.796499999999995
5,7,7,37,45.150499999999994
6,5,6,82,79.8497
6,8,9,56,63.6957
6,8,6,59,63.7101
4,8,6,70,70.9516
5,8,9,45,54.00919999999999
5,5,8,73,73.3796
6,8,9,87,88.6972
6,6,7,62,65.3247
7,5,9,81,82.26329999999999
6,8,9,11,27.4032
4,5,7,100,93.53840000000001
5,8,9,38,48.363699999999994
5,6,6,84,81.451
4,6,9,23,33.8446
7,6,9,53,60.4846
5,5,7,37,43.543899999999994
6,7,6,55,59.680800000000005
6,7,9,77,79.8289
5,6,7,11,23.3782
4,8,9,7,22.547199999999997
6,7,9,47,55.6339
5,5,7,51,54.834900000000005
7,5,7,5,19.365899999999996
4,7,6,6,18.5323
7,7,6,8,22.5903
4,8,7,9,22.556799999999996
5,5,6,57,58.8722
6,6,7,88,86.2937
4,5,9,66,67.7208
5,7,9,67,70.9489
4,5,6,96,89.51070000000001
7,6,6,68,70.17699999999999
7,5,9,80,81.45679999999999
5,7,8,15,28.2092
7,6,6,29,38.7235
6,7,7,93,91.1295
6,6,9,93,91.9296
6,6,9,25,37.0876
4,6,6,19,28.213499999999996
7,6,6,85,83.88749999999999
7,7,9,30,42.7384
5,6,7,63,65.3162
5,6,9,56,61.274100000000004
7,6,8,93,91.9429
4,5,6,84,79.83269999999999
5,7,7,54,58.861000000000004
7,5,7,45,51.625899999999994
7,7,6,8,22.5903
4,8,7,72,73.3663
6,7,8,95,93.54419999999999
6,7,7,59,63.7085
4,7,9,35,44.3259
5,7,9,15,29.0109
7,8,8,97,96.77550000000001
6,8,7,35,45.1558
7,7,7,28,39.522
4,5,9,41,47.558299999999996
5,7,8,94,91.92269999999999
7,6,9,61,66.9366
5,5,6,0,12.9017
6,6,9,49,56.4436
7,8,9,36,48.3807
4,5,9,2,16.1048
7,6,6,42,49.208
7,5,6,28,37.1137
7,8,6,33,43.5561
4,8,7,60,63.6883
6,7,6,50,55.648300000000006
4,8,9,86,86.26069999999999
6,7,7,84,83.871
5,5,9,23,33.8563
7,7,8,81,83.06819999999999
7,6,9,44,53.226099999999995
6,5,8,4,18.5461
6,8,8,97,95.96050000000001
6,5,8,78,78.2271
5,6,7,35,42.7342
4,7,9,41,49.164899999999996
4,8,7,73,74.1728
7,5,9,79,80.65029999999999
7,8,6,2,18.5546
6,8,6,2,17.7396
6,6,6,100,95.17
7,8,8,18,33.062
4,8,8,16,29.003999999999998
7,6,8,97,95.16890000000001
6,6,6,98,93.557
4,8,9,36,45.9357
5,8,8,29,40.3035
4,6,9,22,33.0381
7,7,6,93,91.1428
6,8,6,7,21.772100000000002
5,5,9,14,26.5978
5,6,8,1,16.1149
4,8,8,50,56.425
5,8,8,65,69.3375
7,6,7,9,23.395199999999996
5,5,6,96,90.32570000000001
6,7,9,13,28.2129
4,8,8,93,91.10449999999999
7,7,8,30,41.9367
7,7,8,3,20.161199999999997
5,5,9,27,37.082300000000004
6,6,9,25,37.0876
6,5,7,97,92.7489
6,8,6,94,91.93759999999999
6,6,7,38,45.9687
5,7,9,27,38.688900000000004
4,7,7,3,16.914499999999997
5,8,9,59,65.3002
5,7,8,30,40.3067
7,7,6,81,81.4648
7,7,9,5,22.575899999999997
5,5,8,22,32.248099999999994
6,6,7,67,69.3572
5,6,9,61,65.3066
4,6,8,5,18.525899999999996
7,6,6,14,26.625999999999998
7,6,6,63,66.1445
5,5,9,98,94.3438
4,8,8,46,53.199
6,7,8,35,45.1542
5,7,6,36,43.5423
4,7,7,13,24.979499999999998
6,6,7,31,40.3232
6,6,6,18,29.037
6,7,6,14,26.6143
7,8,9,37,49.1872
5,8,8,99,96.7585
5,7,8,70,72.5667
5,5,6,90,85.4867
5,8,6,36,44.3456
7,8,8,26,39.513999999999996
7,8,6,73,75.8161
4,5,7,19,28.2119
7,8,6,53,59.6861
6,5,9,29,39.5103
6,8,7,31,41.9298
7,7,9,27,40.3189
5,5,7,97,91.93390000000001
4,8,9,89,88.68019999999999
5,5,6,78,75.8087
5,7,6,22,32.2513
5,5,6,38,43.5487
7,5,6,75,75.0192
6,7,7,19,31.4485
7,7,8,20,33.8717
6,8,9,14,29.8227
5,6,8,68,70.15039999999999
4,7,7,37,44.335499999999996
5,7,7,81,80.6365
6,5,6,100,94.36670000000001
6,7,7,78,79.032
6,8,9,38,49.1787
5,5,7,31,38.704899999999995
6,7,8,37,46.7672
7,8,7,51,58.8748
6,5,7,14,25.8094
7,6,6,17,29.045499999999997
7,5,9,64,68.55279999999999
5,8,6,96,92.7356
7,8,8,99,98.38850000000001
4,6,9,82,81.4281
5,8,7,16,29.0173
7,8,9,49,58.8652
4,7,7,74,74.17599999999999
6,7,9,97,95.9589
6,7,6,64,66.9393
4,7,9,78,79.0054
6,6,8,42,49.996399999999994
6,6,9,51,58.0566
7,6,9,66,70.9691
6,5,8,78,78.2271
6,6,9,7,22.5706
7,5,7,42,49.206399999999995
7,8,7,17,31.453799999999998
7,6,8,65,69.3609
6,6,8,7,21.768900000000002
6,5,9,51,57.2533
5,5,6,33,39.5162
6,8,7,70,73.38329999999999
6,8,9,38,49.1787
6,6,8,61,65.3199
6,7,9,85,86.2809
7,7,8,15,29.839199999999998
5,7,8,29,39.5002
4,7,9,36,45.1324
4,6,9,94,91.1061
4,6,8,52,56.4314
6,5,8,38,45.9671
5,5,8,29,37.8936
7,7,6,42,50.0113
5,5,6,92,87.0997
7,8,9,2,20.959699999999998
7,5,7,93,90.33789999999999
4,8,6,88,85.4686
7,8,9,91,92.73819999999999
6,6,8,46,53.22239999999999
4,5,9,76,75.7858
4,7,7,25,34.6575
4,8,6,96,91.92060000000001
4,5,6,31,37.0882
7,8,9,93,94.35119999999999
7,5,8,37,45.9756
4,7,7,74,74.17599999999999
7,7,9,66,71.7724
6,5,8,30,39.515100000000004
5,5,6,41,45.968199999999996
5,7,8,68,70.9537
5,8,8,19,32.2385
7,7,7,12,26.618
5,8,9,5,21.7492
7,8,7,22,35.4863
5,8,8,78,79.822
6,7,6,18,29.8403
5,5,6,83,79.8412
5,6,7,9,21.7652
6,7,7,17,29.8355
6,6,8,76,77.4174
7,5,8,41,49.2016
6,7,7,35,44.3525
6,8,7,15,29.0258
4,5,8,80,78.2101
5,7,9,66,70.1424
5,6,8,95,91.92589999999998
5,6,6,68,68.547
5,7,9,65,69.3359
6,8,8,68,72.572
6,7,9,51,58.8599
4,8,8,59,63.683499999999995
6,6,7,35,43.5492
4,6,9,37,45.1356
7,6,8,82,83.0714
7,8,8,12,28.223
4,7,6,10,21.7583
6,5,9,29,39.5103
4,8,7,56,60.4623
5,6,8,22,33.0514
4,5,8,16,26.594099999999997
4,6,8,82,80.62639999999999
4,8,8,69,71.74849999999999
6,7,7,36,45.159
5,6,9,19,31.4336
6,8,9,62,68.5347
6,5,7,37,44.3589
7,5,7,65,67.7559
4,8,6,7,20.1421
4,5,8,3,16.1096
5,8,8,34,44.336
6,6,9,64,68.5411
6,6,7,57,61.2922
5,8,8,66,70.144
5,6,8,13,25.7929
6,7,6,24,34.6793
5,7,6,39,45.9618
4,7,6,43,48.3728
6,5,7,25,34.6809
5,6,6,78,76.612
5,7,6,21,31.4448
4,6,7,95,90.30919999999999
5,7,9,48,55.6254
4,6,6,90,85.475
6,6,7,72,73.3897
6,7,7,60,64.515
5,7,8,96,93.5357
6,7,8,81,82.25319999999999
5,8,6,66,68.5406
4,5,6,70,68.54169999999999
5,7,7,65,67.7325
7,8,9,46,56.445699999999995
4,5,9,79,78.2053
5,7,6,43,49.187799999999996
7,6,7,55,60.4942
6,8,8,59,65.3135
7,5,7,47,53.238899999999994
5,7,9,27,38.688900000000004
4,5,6,72,70.15469999999999
4,7,9,7,21.743899999999996
7,6,8,41,50.00489999999999
6,8,6,34,43.5476
4,7,8,83,82.2362
4,7,8,51,56.428200000000004
4,5,7,54,56.4394
7,8,9,36,48.3807
7,7,8,94,93.55269999999999
7,6,7,88,87.1087
6,6,9,73,75.7996
6,8,9,64,70.1477
5,7,8,84,83.8577
4,6,8,25,34.6559
5,6,9,42,49.98309999999999
6,7,9,29,41.1169
4,6,6,12,22.567999999999998
6,6,9,42,50.7981
6,6,9,21,33.861599999999996
7,6,6,57,61.3055
5,7,9,95,93.53089999999999
6,5,9,46,53.2208
6,8,7,77,79.02879999999999
5,8,6,10,23.3766
7,8,7,64,69.35929999999999
7,5,6,22,32.274699999999996
4,7,9,63,66.9079
7,5,7,38,45.980399999999996
4,8,8,89,87.87849999999999
5,7,6,56,59.6723
6,6,7,58,62.0987
4,7,8,60,63.6867
7,6,7,6,20.975699999999996
4,7,8,42,49.16969999999999
4,7,9,68,70.9404
5,5,9,34,42.7278
6,8,9,2,20.1447
7,8,8,31,43.546499999999995
4,7,8,52,57.234700000000004
6,8,7,91,90.31979999999999
7,5,8,19,31.458599999999997
4,5,6,0,12.0867
7,6,7,34,43.5577
7,8,7,88,88.71529999999998
5,6,9,64,67.7261
4,6,8,100,95.1434
7,5,6,73,73.4062
6,6,8,49,55.64190000000001
6,5,6,38,44.363699999999994
7,5,9,85,85.48929999999999
5,7,8,94,91.92269999999999
4,6,6,22,30.632999999999996
6,7,8,94,92.73769999999999
7,6,6,89,87.11349999999999
6,6,8,38,46.770399999999995
5,6,6,5,17.7375
6,5,6,80,78.2367
7,5,9,91,90.32829999999998
7,6,8,59,64.5219
6,5,8,59,62.9036
7,6,6,0,15.334999999999999
6,5,6,83,80.6562
4,7,8,3,17.716199999999997
6,5,7,42,48.3914
6,8,8,57,63.700500000000005
5,7,8,19,31.4352
7,5,6,42,48.4047
7,6,8,98,95.97540000000001
7,7,7,94,92.75099999999999
5,5,8,14,25.7961
6,5,6,43,48.39619999999999
6,5,9,63,66.9313
6,5,6,25,33.8792
4,8,8,58,62.876999999999995
6,5,7,76,75.8124
6,6,8,43,50.802899999999994
7,5,9,95,93.55429999999998
6,6,9,88,87.8971
7,6,8,19,32.2619
6,8,8,96,95.15400000000001
4,7,7,16,27.398999999999997
7,6,6,20,31.464999999999996
4,8,7,74,74.9793
6,5,8,94,91.13109999999999
4,7,7,100,95.14500000000001
7,6,8,94,92.7494
4,8,9,5,20.934199999999997
6,8,6,82,82.25959999999999
4,8,9,99,96.74520000000001
6,5,7,7,20.163899999999998
4,5,6,47,49.9922
4,7,8,31,40.298199999999994
7,7,8,7,23.3872
7,7,8,98,96.7787
4,8,8,14,27.391
7,6,8,75,77.4259
7,6,7,98,95.1737
7,8,6,73,75.8161
7,6,9,16,30.644099999999998
5,7,7,6,20.149
4,8,6,67,68.5321
4,7,8,53,58.0412
7,7,7,64,68.556
6,8,7,0,16.9283
7,7,7,0,16.939999999999998
5,8,9,27,39.4922
6,7,7,54,59.676
4,5,7,42,46.761399999999995
6,7,8,0,16.9267
7,6,8,43,51.61789999999999
7,5,8,24,35.4911
5,5,8,17,28.2156
4,8,8,63,66.9095
5,5,7,76,74.9974
5,6,9,26,37.0791
6,5,8,0,15.3201
7,5,7,45,51.625899999999994
6,5,7,49,54.0369
5,6,8,33,41.9229
5,6,9,20,32.2401
7,5,7,72,73.4014
6,7,9,89,89.5069
6,5,7,97,92.7489
4,8,7,77,77.3988
7,8,6,77,79.0421
6,6,6,59,62.1035
5,8,7,73,74.9878
7,5,6,57,60.5022
7,5,7,28,37.9154
4,8,7,69,70.9468
6,8,6,33,42.7411
5,8,6,82,81.4446
5,8,7,35,44.3408
7,6,9,90,90.32509999999999
5,7,9,94,92.72439999999999
6,7,8,87,87.09219999999999
6,8,8,54,61.281000000000006
4,5,6,76,73.38069999999999
6,7,9,16,30.6324
6,6,8,17,29.8339
6,8,7,32,42.7363
7,5,6,98,93.5687
4,7,8,54,58.8477
4,5,9,71,71.7533
5,7,7,80,79.83
4,6,9,29,38.6836
7,6,8,43,51.61789999999999
6,8,6,58,62.9036
7,5,7,42,49.206399999999995
6,5,6,44,49.20269999999999
7,8,6,100,97.5916
5,6,6,82,79.838
7,6,6,20,31.464999999999996
6,5,6,15,25.8142
5,8,8,6,21.753999999999998
5,8,6,69,70.9601
7,5,8,58,62.912099999999995
6,5,9,84,83.86779999999999
5,7,9,0,16.9134
4,7,7,99,94.33850000000001
6,6,7,56,60.4857
5,5,9,46,52.4058
4,5,6,6,16.9257
7,7,8,87,87.90719999999999
7,6,6,60,63.725
7,5,9,90,89.52179999999998
6,5,9,65,68.54429999999999
4,8,6,0,14.496599999999999
5,7,6,84,82.2543
6,7,6,4,18.5493
4,6,7,56,58.8557
5,8,8,0,16.915
4,7,6,50,54.0183
7,5,8,18,30.652099999999997
6,8,6,95,92.74409999999999
6,8,8,63,68.5395
6,8,8,47,55.63549999999999
6,8,8,79,81.4435
6,7,7,64,67.741
5,7,6,69,70.1568
6,7,7,54,59.676
6,8,8,49,57.24850000000001
4,6,7,49,53.2102
6,8,9,88,89.5037
6,8,7,21,33.8648
5,8,6,35,43.5391
4,6,7,55,58.0492
6,6,8,64,67.7394
5,5,8,94,90.31609999999999
7,6,8,61,66.1349
7,5,8,43,50.8146
7,6,7,21,33.0732
7,5,6,16,27.435699999999997
7,6,7,35,44.3642
5,8,9,66,70.9457
6,7,6,52,57.261300000000006
6,8,7,8,23.3803
7,5,8,12,25.8131
7,7,8,13,28.2262
4,6,9,13,25.7796
5,8,8,58,63.692
5,8,9,78,80.6237
7,7,8,89,89.52019999999999
4,7,9,22,33.84139999999999
5,8,6,2,16.9246
5,7,7,21,32.2465
5,8,7,63,66.9228
6,8,8,33,44.3445
4,6,7,99,93.5352
7,6,7,2,17.749699999999997
6,8,9,39,49.9852
4,8,9,82,83.03469999999999
7,6,7,49,55.6552
7,7,9,79,82.2569
4,7,8,57,61.2672
7,7,8,61,66.9382
5,5,7,57,59.6739
4,6,8,94,90.30439999999999
5,5,7,11,22.5749
4,5,9,34,41.9128
5,5,9,31,40.3083
5,7,9,89,88.69189999999999
6,8,9,39,49.9852
4,5,7,8,19.3404
5,8,9,78,80.6237
7,6,7,83,83.0762
7,6,6,4,18.561
7,5,8,56,61.299099999999996
7,7,6,32,41.9463
5,6,7,76,75.80069999999999
4,7,8,34,42.717699999999994
7,8,8,10,26.61
5,5,7,99,93.54690000000001
6,7,9,28,40.3104
6,8,8,40,49.989999999999995
4,6,7,58,60.4687
5,6,6,56,58.869
7,6,6,0,15.334999999999999
6,6,8,55,60.480900000000005
5,5,6,82,79.0347
6,5,8,97,93.5506
4,7,7,44,49.980999999999995
6,5,8,39,46.7736
7,5,8,71,73.39659999999999
6,8,8,38,48.376999999999995
7,5,7,17,29.043899999999997
6,5,6,85,82.2692
6,5,8,67,69.3556
6,8,6,20,32.2566
4,7,6,51,54.8248
7,7,7,0,16.939999999999998
5,5,7,84,81.4494
6,8,9,10,26.5967
4,5,6,66,65.31569999999999
4,5,8,92,87.8881
7,8,6,55,61.2991
6,7,6,85,83.8758
5,7,9,97,95.1439
7,6,9,87,87.90559999999999
5,6,6,8,20.157
6,6,8,94,91.9344
5,6,9,83,83.0496
5,8,6,91,88.70309999999999
7,5,9,49,56.4553
4,5,7,54,56.4394
6,7,8,7,22.572200000000002
5,6,8,67,69.34389999999999
7,8,9,2,20.959699999999998
6,7,7,8,22.576999999999998
4,5,9,67,68.5273
6,8,8,90,90.315
4,7,7,99,94.33850000000001
6,7,8,7,22.572200000000002
4,5,9,37,44.3323
6,8,7,25,37.0908
4,8,7,88,86.27029999999999
7,5,6,78,77.4387
7,5,7,12,25.0114
5,8,9,34,45.137699999999995
6,5,7,18,29.0354
4,8,7,62,65.3013
4,7,9,69,71.7469
4,5,6,87,82.25219999999999
5,6,7,32,40.3147
4,5,8,68,68.5321
4,7,8,94,91.1077
4,6,7,44,49.177699999999994
6,8,7,79,80.64179999999999
7,7,9,66,71.7724
6,5,9,81,81.44829999999999
4,5,7,99,92.73190000000001
5,7,6,54,58.0593
6,8,7,3,19.3478
4,5,8,49,53.208600000000004
6,6,9,23,35.474599999999995
5,8,7,24,35.469300000000004
5,7,9,4,20.1394
7,6,8,12,26.6164
4,5,6,48,50.798700000000004
4,7,6,6,18.5323
6,5,8,7,20.965600000000002
6,8,6,89,87.90509999999999
7,8,9,29,42.7352
7,7,7,20,33.06999999999999
7,6,8,83,83.8779
4,7,7,76,75.78899999999999
7,6,8,9,24.1969
4,6,9,37,45.1356
6,7,9,80,82.2484
7,8,6,1,17.7481
5,8,6,17,29.022100000000002
5,6,8,76,76.60239999999999
7,6,9,37,47.5806
7,5,7,75,75.8209
7,7,6,39,47.5918
5,8,7,52,58.0513
7,6,9,12,27.4181
7,8,8,94,94.356
4,7,9,81,81.4249
5,6,9,51,57.241600000000005
4,6,7,10,21.756699999999995
7,6,6,70,71.78999999999999
7,7,9,34,45.9644
4,8,7,73,74.1728
7,7,7,56,62.104
4,5,8,100,94.3401
7,8,8,30,42.739999999999995
7,7,6,34,43.5593
6,6,6,59,62.1035
4,7,7,58,61.272
5,8,8,85,85.4675
7,6,8,4,20.164399999999997
